,restaurant_id,names,restaurant_type,address,latitude,longitude,num_of_reviews,rating,zip_code
186,bB3mkNsEkIpkwuaKSKxSfw,Tofubox,chinese,632 Grand St,40.71125,-73.9468,101,5.0,11211
187,gJXNSJ9VXTuCFmp_Kl9TVQ,Shanghai,chinese,1388 2nd Ave,40.768291,-73.958381,115,4.0,10021
188,56rTisZA_iEekMsyZHvSHQ,MomenTea Kitchen,chinese,213 W 40th St,40.7551628731681,-73.9885599911213,84,4.0,10018
189,LpSjWO4ZU6rbxGUetRp1mA,King Dumplings,chinese,74 Hester St,40.71605,-73.99169,166,4.5,10002
190,za9mYaRVWkwKkQfjRgvU0g,Taiwan Bear House,chinese,11 Pell St,40.7147185237041,-73.9977966218067,332,4.0,10013
191,Cd11Q5nxqthvg5xQx2SW2g,Tasty Dumpling,chinese,42 Mulberry St,40.71492871224907,-73.9995409548283,532,3.5,10013
192,KBZQN540Xz6LbXLRVOMc0w,Hunan Delight,chinese,1467 York Ave,40.770678,-73.951296,192,3.5,10075
193,6LfskUyZzmcDSV6h5kOwGw,Peking Duck House,chinese,28 Mott St,40.71461,-73.99871,910,3.5,10013
194,wdGMVLUzocmnl2tST0lheg,YunShang Rice Noodle House,chinese,53 Bayard St,40.71525,-73.99765,243,4.0,10013
195,L9SuMN3UsGipopWOe3pr9w,Chiko,chinese,954 Manhattan Ave,40.7319,-73.95422,43,5.0,11222
196,S-aX_Pz8F7nDL6kRThKcHw,Vanessa's Dumpling House,chinese,310 Bedford Ave,40.713795,-73.961983,559,3.5,11211
197,xH7mEjh4Rn6KdHjXYNoOjw,Yaso Tangbao,chinese,148 Lawrence St,40.6918206366101,-73.9863992364001,787,3.5,11201
198,rkeH5HJIuX7ZcOaYNum9xA,Wu's Wonton King,chinese,165 E Broadway,40.7139415501646,-73.9899386554248,378,3.5,10002
199,RoPrfBqmRTqw_cBqcWAfYA,Dim Sum Bar,chinese,167 Grand St,40.714735,-73.961346,229,4.0,11249
